Year,ISO2,ISO3,Country,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.INIT,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2014,UN.OSI 2014,WB.NetUsers 2013,WEF.GCI.9.02 2013,WEF.GITR.8.01 2014,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2014,SL,SLE,Sierra Leone,3,5,1,1,0,0,0,67,0.05,1.70,3.79,3.90,0,0,0,0,0,0,0,0,15,15,60,5,5,0,10,15,10,10,0,15,0
2014,SG,SGP,Singapore,6,0,7,2,7,0,7,51,0.99,73.00,5.83,5.88,3,0,5,0,1,5,10,10,65,65,5,10,15,40,65,80,65,65,65,15,15
2014,ZA,ZAF,South Africa,6,6,1,3,3,3,3,81,0.39,48.90,5.39,3.30,2,1,0,1,0,0,10,25,15,65,5,5,15,15,65,10,65,80,10,80,15
2014,ES,ESP,Spain,9,5,6,7,3,7,7,96,0.94,71.57,5.04,3.83,2,2,2,0,3,5,95,15,80,15,80,15,15,95,80,65,65,95,15,80,65
2014,SE,SWE,Sweden,9,8,8,9,7,8,7,99,0.70,94.78,6.23,5.27,6,4,4,4,3,5,50,60,95,80,95,65,15,95,95,60,95,80,95,100,15
2014,CH,CHE,Switzerland,8,6,7,8,3,6,7,96,0.50,86.70,6.12,4.29,6,5,2,0,3,5,15,5,95,15,5,15,15,15,50,80,70,75,15,80,15
2014,TZ,TZA,Tanzania,0,1,1,2,0,0,1,64,0.30,4.40,3.93,3.68,0,0,0,0,0,1,5,5,60,15,15,15,10,0,15,10,50,10,10,15,15
2014,TH,THA,Thailand,3,4,2,1,0,0,4,54,0.44,28.94,5.02,3.59,0,0,0,0,0,0,5,5,80,15,5,60,10,15,15,10,40,40,5,15,15
2014,TN,TUN,Tunisia,7,7,5,6,1,4,5,63,0.64,43.80,4.69,3.92,4,2,0,0,1,3,5,5,60,15,5,15,15,15,10,10,40,75,10,15,15
2014,TR,TUR,Turkey,4,6,2,2,1,1,5,60,0.56,46.25,5.34,4.24,1,1,0,0,0,0,15,5,65,60,5,5,15,15,80,40,80,45,45,55,5
2014,AE,ARE,UAE,5,0,6,0,1,0,3,18,0.88,88.00,6.08,5.91,0,3,0,0,0,0,10,5,60,40,5,5,10,15,60,65,45,10,5,15,5
2014,UG,UGA,Uganda,3,4,1,5,0,0,1,37,0.15,16.20,4.10,4.00,0,1,0,0,0,0,5,5,65,15,15,5,15,0,65,15,15,15,15,15,15
2014,GB,GBR,UK,6,8,10,9,9,6,8,97,0.90,89.84,5.65,4.49,5,7,4,3,6,6,100,100,90,90,95,100,100,95,95,95,95,95,80,95,95
2014,UA,UKR,Ukraine,7,5,5,5,2,1,1,55,0.27,41.80,4.34,2.55,0,0,0,0,0,2,15,5,45,60,5,15,15,15,60,15,15,50,15,15,15
2014,UY,URY,Uruguay,9,8,6,5,4,4,2,98,0.85,58.10,4.42,3.76,1,2,2,1,1,2,65,15,95,80,80,5,15,95,50,45,80,15,80,15,15
2014,US,USA,US,5,8,9,9,8,8,7,92,0.94,84.20,5.99,4.45,5,7,3,2,7,8,95,5,95,95,95,15,100,95,95,100,90,95,95,95,95
2014,VE,VEN,Venezuela,2,1,1,1,0,1,1,38,0.55,54.90,4.10,2.52,0,0,0,0,0,0,15,5,80,15,5,5,10,0,80,10,5,5,10,15,5
2014,VN,VNM,Vietnam,3,0,0,0,0,0,0,20,0.42,43.90,3.76,4.15,0,0,0,0,1,0,5,5,60,40,5,15,15,15,60,60,80,5,5,15,15
2014,YE,YEM,Yemen,0,4,0,1,0,0,1,26,0.31,20.00,4.08,2.41,0,0,0,0,0,1,10,5,10,15,5,10,10,0,10,15,5,5,10,15,15
2014,ZM,ZMB,Zambia,4,1,0,0,0,0,0,59,0.14,15.40,4.63,4.31,0,0,0,0,0,0,5,5,15,10,5,5,15,0,60,10,5,5,0,15,5
2014,ZW,ZWE,Zimbabwe,4,2,1,0,0,0,2,29,0.31,18.50,4.35,3.57,0,1,0,0,0,0,5,5,40,15,10,5,15,0,45,10,5,10,5,15,5
