Year,ISO2,ISO3,Country,ODB.2015.C.POLI,ODB.2015.C.MANAG,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.INIT,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2015,UN.OSI 2014,WB.NetUsers 2014,WEF.GCI.9.02 2015,WEF.GITR.8.01 2015,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2015,IL,ISR,Israel,3,4,6,6,4,4,1,2,5,80,0.87,71.45,6.05,4.53,2,3,0,0,4,6,15,15,65,65,5,65,15,85,65,15,15,15,80,60,5
2015,IT,ITA,Italy,7,7,8,4,6,6,5,7,6,89,0.75,61.96,4.15,2.85,4,4,2,0,1,5,65,5,85,90,5,15,80,0,80,80,15,15,95,80,65
2015,JM,JAM,Jamaica,1,0,2,5,3,6,5,0,5,74,0.31,40.50,4.75,3.59,1,0,0,1,2,3,15,15,65,15,0,15,15,15,65,5,5,15,15,15,15
2015,JO,JOR,Jordan,1,0,1,3,2,1,0,0,3,36,0.52,44.00,5.32,4.64,0,0,0,0,0,0,15,15,15,15,5,15,15,15,15,15,15,15,5,15,15
2015,JP,JPN,Japan,5,4,7,7,7,8,3,3,6,92,0.94,90.58,6.08,4.86,4,3,4,2,3,5,65,15,80,80,80,15,15,80,80,65,15,65,65,65,15
2015,KZ,KAZ,Kazakhstan,0,2,5,1,3,2,0,0,2,24,0.75,54.89,4.36,4.35,0,0,0,0,1,0,5,15,60,65,5,55,15,5,45,55,40,40,40,15,5
2015,KE,KEN,Kenya,0,3,2,4,7,6,3,1,5,51,0.43,43.40,4.84,4.74,1,2,0,0,2,3,15,5,15,65,5,5,80,15,15,80,55,15,5,65,15
2015,KR,KOR,Korea (Republic of),8,7,8,8,9,8,8,8,7,84,0.98,84.33,5.45,4.96,3,3,3,1,4,6,45,75,95,15,5,60,90,90,75,60,75,75,75,90,15
2015,LC,LCA,Saint Lucia,1,0,5,0,3,1,0,0,3,92,0.24,51.00,NA,NA,0,0,0,1,0,0,30,5,15,15,5,15,15,0,45,80,15,15,15,15,5
2015,MA,MAR,Morocco,0,0,6,3,5,4,3,0,2,42,0.69,56.80,4.53,4.23,0,1,0,0,0,0,15,5,15,15,5,15,15,15,15,60,55,5,5,15,15
2015,MD,MDA,Moldova (Republic of),6,4,7,6,7,6,4,0,4,63,0.53,46.60,4.11,3.67,1,3,0,0,1,1,45,15,65,60,5,15,15,15,65,60,55,65,65,55,80
2015,MX,MEX,Mexico,7,6,8,7,7,7,7,5,5,64,0.66,44.39,4.60,3.69,4,4,1,3,2,6,60,5,95,95,5,65,15,90,15,80,15,80,75,80,65
2015,MK,MKD,Macedonia,5,2,8,7,6,5,2,1,5,60,0.24,68.06,4.17,4.88,1,2,2,0,0,2,15,15,80,80,5,65,15,15,65,60,80,65,75,15,5
2015,ML,MLI,Mali,0,0,5,0,0,2,0,0,2,44,0.13,7.00,4.13,4.12,0,0,0,0,0,0,0,0,45,15,5,5,15,0,15,0,15,0,5,5,15
2015,MM,MMR,Myanmar,0,0,0,0,0,3,0,0,2,25,0.02,2.10,2.94,2.98,0,0,0,0,0,0,5,5,80,0,5,15,15,5,60,15,15,15,5,5,5
2015,MZ,MOZ,Mozambique,0,0,3,4,1,0,1,1,3,58,0.31,5.94,4.24,3.38,0,0,0,0,0,0,5,0,15,15,5,0,15,15,75,5,50,5,0,5,15
2015,MU,MUS,Mauritius,1,5,8,0,2,0,1,0,3,90,0.47,41.44,5.03,4.56,0,0,0,0,0,0,5,5,65,15,5,15,15,15,65,15,65,50,65,65,15
2015,MW,MWI,Malawi,0,1,2,1,1,1,0,0,2,61,0.17,5.83,3.85,3.45,0,0,0,0,1,0,65,5,15,15,5,5,15,0,50,15,15,5,5,15,5
2015,MY,MYS,Malaysia,2,1,5,1,5,2,3,0,4,46,0.68,67.50,5.58,5.45,1,0,1,1,0,2,15,5,15,15,5,15,15,15,65,15,15,40,65,15,15
2015,,NAM,Namibia,0,0,2,1,3,3,1,0,3,76,0.32,14.84,4.87,3.69,0,0,0,0,0,0,5,5,15,15,5,5,15,0,15,15,5,15,5,15,15
2015,NG,NGA,Nigeria,2,0,3,4,3,3,2,1,4,43,0.31,42.68,4.34,3.62,0,1,0,0,0,0,5,5,15,15,5,5,15,0,15,75,75,15,5,15,15
2015,NL,NLD,Netherlands,5,7,8,7,7,9,8,8,7,99,0.93,93.17,5.63,4.53,4,3,6,0,5,7,95,65,80,95,5,15,80,5,95,95,95,90,90,80,15
2015,NO,NOR,Norway,6,6,9,7,8,5,2,5,6,100,0.76,96.30,6.05,4.73,5,5,1,0,3,1,95,15,80,80,5,75,15,80,85,60,75,80,80,15,15
2015,NP,NPL,Nepal,1,0,3,6,3,5,2,0,3,51,0.16,15.44,3.87,2.92,1,0,0,0,1,1,5,5,15,15,5,15,15,0,50,15,15,15,0,80,15
2015,NZ,NZL,New Zealand,7,6,8,8,8,8,5,5,6,97,0.84,85.50,5.80,5.29,5,3,7,2,5,7,80,85,80,80,5,15,80,15,80,80,80,65,65,80,15
2015,PK,PAK,Pakistan,0,0,1,4,1,3,3,1,3,42,0.32,13.80,4.42,3.15,0,0,0,0,0,0,15,5,15,15,5,15,15,0,15,0,5,15,0,15,15
2015,PE,PER,Peru,5,0,7,6,2,5,3,3,3,71,0.63,40.20,4.48,3.29,0,0,0,0,0,0,15,5,40,65,5,5,15,60,60,45,65,45,60,75,75
